city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Sundbybergs,Sundbyberg,Brännarvägen,7,Brännarvägen 7,2,47,2150000,18,juli,2019,2210000,2733,LägenhetLägenhet,NA,3300,2018,NA, Victor Aghester , Svenska Mäklarhuset Sundbyberg 
Stockholms,Beckomberga,Söderberga Allé,8,Söderberga Allé 8,2,58,1695000,18,juli,2019,1695000,4734,LägenhetLägenhet,NA,7680,NA,NA, Agnetha Pettersson , Mäklarhuset Spånga 
Stockholms,Hässelby,Blomsterkungsvägen,116,Blomsterkungsvägen 116B  1tr,1,34.9,1630000,17,juli,2019,1630000,1952,LägenhetLägenhet,1,3000,2019,Kronbladet 1, Jimmy Solkarin , Fastighetsbyrån Hässelby 
Stockholms,Årsta,Sköntorpsvägen,128,Sköntorpsvägen 128,1.5,43.5,2500000,17,juli,2019,1995000,2520,LägenhetLägenhet,NA,NA,NA,NA, Elena Gomez , Svensk Fastighetsförmedling Årsta 
Nacka,Västra,Ornövägen,32,Ornövägen 32,1.5,37,1825000,17,juli,2019,1845000,2445,LägenhetLägenhet,NA,4368,NA,NA, Martin Adolfsson , Svensk Fastighetsförmedling Nacka 
Solna,Huvudsta,Huvudstagatan,29,Huvudstagatan 29 1 tr,1,20,1980000,17,juli,2019,1695000,1137,LägenhetLägenhet,1,4860,1953,NA, Daniel Wagell , Svensk Fastighetsförmedling Solna 
Stockholms,Hässelby,Hundlokegränd,30,Hundlokegränd 30 våning 5 av 5,2,53,2300000,17,juli,2019,2300000,3295,LägenhetLägenhet,5,5700,2017,NA, Jaime Markenbjörk , HusmanHagberg VällingbyHässelbySpånga 
Stockholms,Vällingby,Ullvidevägen,65,Ullvidevägen 65 Vån 1,4,81,2430000,15,juli,2019,2395000,4053,LägenhetLägenhet,1,4000,1986,NA, Jimmy Solkarin , Fastighetsbyrån Vällingby 
Stockholms,Årsta,Storsjövägen,38,Storsjövägen 38 A,1,21.3,2023500,15,juli,2019,2023500,1209,LägenhetLägenhet,NA,NA,2019,NA, Michel Warnie , Fastighetsbyrån Årsta 
Stockholms,Råcksta,Östersundsgatan,7,Östersundsgatan 7,2,48,2125000,15,juli,2019,1895000,2428,LägenhetLägenhet,NA,NA,1957,NA, Rawaz Abdullah , Svensk Fastighetsförmedling VällingbyHässelbySpånga 
