"city","area","street","street_number","address","rooms","kvm","price","day_of_month_sold","month_sold_swedish","year_sold","asking_price","avgift","type","floor","running_costs","year_built","hoa","agent_name","agency"
"Stockholms","vällingby","other",8,"other",1,33,1840000,15,"juli",2019,1840000,1790,"apartment",4,4149,2019,"other","other","svenskfastighetsförmedlingvällingbyhässelbyspånga"
"Stockholms","bromma","other",242,"other",2,59,2470000,15,"juli",2019,2450000,3571,"apartment",4,5718,1977,"other","info","other"
"Stockholms","vällingby","vittangigatan",41,"other",1,32,1900000,15,"juli",2019,1695000,2118,"apartment",6,2500,1953,"brffyrfärgspennan1","other","svenskamäklarhusetvällingby"
"Solna","huvudsta","other",29,"other",1,42,2425000,13,"juli",2019,2150000,2453,"apartment",3,3800,1948,"other","other","other"
"Stockholms","vällingby","östersundsgatan",6,"other",2,46,2280000,12,"juli",2019,1995000,2434,"apartment",3,3800,2017,"other","jimmysolkarin","fastighetsbyrånvällingby"
"Sundbybergs","ursvik","other",113,"ursviksvägen113",1,24,1650000,12,"juli",2019,1350000,1878,"apartment",3,4104,1939,"other","other","other"
"Nacka","västra","ornövägen",24,"ornövägen24",3,81,2200000,12,"juli",2019,1995000,4737,"apartment",3,6048,1970,"brfsockerbiten","other","svenskfastighetsförmedlingnacka"
"Stockholms","kungsholmen","other",153,"other",1,22.5,2350000,12,"juli",2019,2350000,1550,"apartment",3,2000,1949,"other","other","bosthlmfastighetsmäklareab"
"Stockholms","bromma","other",29,"other",1,43,2500000,11,"juli",2019,1950000,2843,"apartment",1,4259,1950,"brfkoppartältet","noomiunéus","svenskamäklarhusetbromma"
"Stockholms","årsta","sköntorpsvägen",111,"other",1.5,32,2425000,11,"juli",2019,2150000,2226,"apartment",3,7740,1961,"brfnärdingen1","other","other"
"Sundbybergs","sundbyberg","other",113,"ursviksvägen113",2,56,2320000,11,"juli",2019,2295000,3722,"apartment",3,5151,1939,"other","other","notar"
"Stockholms","hässelby","astrakangatan",100,"other",3,72,2250000,10,"juli",2019,2250000,4539,"apartment",3,4700,1984,"other","other","fastighetsbyrånhässelby"
"Stockholms","vällingby","other",63,"other",4,79,2445000,10,"juli",2019,2395000,3961,"apartment",3,4630,1986,"other","other","svenskfastighetsförmedlingvällingbyhässelbyspånga"
"Sundbybergs","centrala","other",34,"other",2,48.5,2480000,10,"juli",2019,1895000,3615,"apartment",0,4872,1999,"other","other","notar"
"Stockholms","kungsholmen","other",153,"other",1,22.5,2420000,10,"juli",2019,2420000,1550,"apartment",8,2400,1949,"other","other","bosthlmfastighetsmäklareab"
"Sundbybergs","ursvik","other",13,"other",2,46,2170000,9,"juli",2019,1995000,2863,"apartment",4,6000,2016,"brfursvikskulle","jessicatoubal","fastighetsbyrånsundbyberg"
"Stockholms","vällingby","other",4,"other",1,39,1775000,9,"juli",2019,1495000,1957,"apartment",4,4160,1980,"other","other","svenskfastighetsförmedlingvällingbyhässelbyspånga"
"Stockholms","hässelby","other",8,"other",2,56.5,2100000,9,"juli",2019,2045000,3259,"apartment",1,5520,2011,"other","other","husmanhagbergvällingbyhässelbyspånga"
"Nacka","västra","betsövägen",10,"other",3,55,1800000,8,"juli",2019,1733975,3482,"apartment",3,5640,1970,"other","other","svenskfastighetsförmedlingnacka"
"Nacka","nacka","edinsvägen",10,"other",1,29.5,1620000,8,"juli",2019,1495000,1992,"apartment",6,3000,1961,"other","other","svenskfastighetsförmedlingnacka"
"Solna","solna","other",36,"other",1,43,2380000,8,"juli",2019,2380000,2425,"apartment",4,4687,1931,"other","other","notar"
"Stockholms","årsta","other",34,"other",2,42,2450000,8,"juli",2019,2075000,3281,"apartment",3,4214,1944,"other","other","notar"
"Solna","järva","other",62,"other",1.5,42,2400000,7,"juli",2019,2295000,2554,"apartment",4,7400,2015,"other","other","mohvsolna"
"Stockholms","årsta","other",38,"other",1,19.3,1795000,5,"juli",2019,1795000,1181,"apartment",5,4106,2019,"other","michelwarnie","fastighetsbyrånårsta"
"Stockholms","bromma","other",22,"other",2,54,2300000,5,"juli",2019,2190000,3498,"apartment",4,8400,1952,"other","andreasnilsson","notar"
"Sundbybergs","sundbyberg","other",5,"other",2,47,2175000,5,"juli",2019,2175000,2733,"apartment",3,4000,2017,"other","victoraghester","svenskamäklarhusetsundbyberg"
"Stockholms","bromma","other",26,"other",2,59,2350000,5,"juli",2019,2195000,3045,"apartment",1,3000,1951,"other","other","other"
"Sundbybergs","hallonbergen","other",18,"other",2,67.6,1890000,5,"juli",2019,1850000,3172,"apartment",3,3866,1972,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Stockholms","bromma","other",14,"other",2,35,2180000,5,"juli",2019,1990000,2029,"apartment",3,5580,1947,"other","isakoddsson","notar"
"Stockholms","hässelby","other",116,"other",1,26.5,1430000,5,"juli",2019,1450000,1487,"apartment",4,3852,2018,"other","andreasyacoub","mäklarringenvällingbyhässelby"
"Sundbybergs","lilla","other",4,"other",1,40,2200000,5,"juli",2019,2295000,2154,"apartment",5,8800,1942,"other","other","other"
"Nacka","västra","skarpövägen",9,"other",1,37,1670000,4,"juli",2019,1395000,1956,"apartment",4,7320,1973,"brfskarpövägen","other","svenskfastighetsförmedlingnacka"
"Sundbybergs","sundbybergs","other",2,"other",1,33,2400000,4,"juli",2019,1995000,1632,"apartment",3,4031,1970,"other","ylvagauffin","länsförsäkringarfastighetsförmedlingsolna"
"Stockholms","bromma","other",1,"other",1,24,2050000,4,"juli",2019,1595000,1287,"apartment",2,3600,1954,"other","other","other"
"Solna","råsunda","råsundavägen",134,"other",1,28,2325000,4,"juli",2019,1795000,2325,"apartment",3,3480,1951,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Stockholms","bromma","other",33,"other",1,25,2030000,4,"juli",2019,1650000,1279,"apartment",5,3905,1963,"other","other","svenskamäklarhusetbromma"
"Sundbybergs","ursvik","other",30,"other",2,42.5,2310000,3,"juli",2019,2310000,2608,"apartment",4,4193,2016,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Sundbybergs","ursvik","gamlaenköpingsvägen",174,"gamlaenköpingsvägen174",2,45,2080000,3,"juli",2019,1995000,2502,"apartment",4,4738,2010,"other","other","notar"
"Stockholms","årsta","sköntorpsvägen",124,"other",1.5,42.5,2480000,3,"juli",2019,1995000,2464,"apartment",4,5808,1961,"other","other","notar"
"Stockholms","råcksta","other",28,"other",2,40,2100000,2,"juli",2019,1950000,2748,"apartment",12,2760,2014,"other","other","länsförsäkringarfastighetsförmedlingstockholmvällingby"
